City;District
Berlin;Charlottenburg-Wilmersdorf
Berlin;Friedrichshain-Kreuzberg
Berlin;Lichtenberg
Berlin;Marzahn-Hellersdorf
Berlin;Mitte
Berlin;Neukoelln
Berlin;Pankow
Berlin;Reinickendorf
Berlin;Spandau
Berlin;Steglitz-Zehlendorf
Berlin;Tempelhof-Schoeneberg
Berlin;Treptow-Koepenick
Madrid;Centro
Madrid;Arganzuela
Madrid;Retiro
Madrid;Salamanca
Madrid;Chamartin
Madrid;Tetuan
Madrid;Chamberi
Madrid;Fuencarral-El Pardo
Madrid;Moncloa-Aravaca
Madrid;Latina
Madrid;Carabanchel
Madrid;Usera
Madrid;Puente de Vallecas
Madrid;Moratalaz
Madrid;Ciudad Lineal
Madrid;Hortaleza
Madrid;Villaverde
Madrid;Puente de Vallecas
Madrid;Vicalvaro
Madrid;San Blas-Canillejas
Madrid;Barajas
