Postal Code;Neighborhood;x;y;Habitants
28001;Barrio de Salamanca;40.425679; -3.682639;17959
28002;Chamartin;40.446811; -3.671400;44302
28003;Chamberi;40.443635; -3.704918;33443
28004;Centro;40.424251; -3.699313;19338
28005;Arganzuela;40.406285; -3.712202;45013
28006;Barrio de Salamanca;40.439569; -3.682720;27403
28007;Retiro;40.408741; -3.666898;40041
28008;Moncloa - Aravaca;40.428730; -3.720301;26884
28009;Barrio de Salamanca;40.416357; -3.677816;28590
28010;Chamberi;40.433827; -3.696045;20171
28011;Latina;40.412465; -3.743614;58949
28012;Centro;40.409967; -3.702313;17529
28013;Moncloa - Aravaca;40.418996; -3.708344;14255
28014;Retiro;40.413522; -3.694928;18382
28015;Chamberi;40.431813; -3.708891;21251
28016;Chamartin;40.461695; -3.673496;37049
28017;Ciudad Lineal;40.428012; -3.642818;70928
28018;Puente de Vallecas;40.382754; -3.654541;40389
28019;Carabanchel;40.395483; -3.727264;55062
28020;Tetuan;40.456973; -3.695492;27357
28021;Villaverde;40.346772; -3.699913;144061
28022;San Blas;40.443400; -3.573481;102498
28023;Moncloa - Aravaca;40.457792; -3.780869;111980
28024;Latina;40.385728; -3.795194;50421
28025;Carabanchel;40.383235; -3.734275;53703
28026;Usera;40.382141; -3.704247;46888
28027;Ciudad Lineal;40.443217; -3.640641;58818
28028;Barrio de Salamanca;40.434934; -3.666914;37243
28029;Fuencarral - El Pardo;40.477100; -3.700859;55327
28030;Moratalaz;40.407822; -3.640664;74876
28031;Vicalvaro;40.372767; -3.641969;82282
28032;Ciudad Lineal;40.415061; -3.598969;69279
28033;Hortaleza;40.475215; -3.647421;78406
28034;Fuencarral - El Pardo;40.493561; -3.690805;85112
28035;Fuencarral - El Pardo;40.489359; -3.732658;81538
28036;Chamartin;40.477005; -3.679625;35327
28037;San Blas;40.432501; -3.619307;59020
28038;Puente de Vallecas;40.393910; -3.649211;49171
28039;Moncloa - Aravaca;40.462942; -3.706807;43014
28040;Moncloa - Aravaca;40.451400; -3.722125;63342
28041;Usera;40.358831; -3.703611;105059
28042;Barajas;40.475687; -3.558058;180063
28043;Hortaleza;40.460786; -3.639429;103365
28044;Latina;40.366201; -3.793980;62165
28045;Arganzuela;40.400551; -3.685684;66461
28046;Tetuan;40.471649; -3.686918;20028
28047;Latina;40.389034; -3.751355;52739
28048;Fuencarral - El Pardo;40.537162; -3.830515;20406
28049;Fuencarral - El Pardo;40.525701; -3.702570;67466
28050;Hortaleza;40.499410; -3.670783;92958
28051;Villa de Vallecas;40.347745; -3.608215;103249
28052;Vicalvaro;40.401194; -3.537998;56487
28053;Puente de Vallecas;40.373993; -3.671633;84545
28054;Latina;40.364038; -3.764758;61272
28055;Hortaleza;40.494186; -3.615140;53593
